category,age_range,photo_path,description
Dungarees,0–3 months,baby_clothes_photos/baby_clothes_photos\17434402358164631580553377095951.jpg,Floral pink dungaree 
Knitwear,0–3 months,baby_clothes_photos/baby_clothes_photos\17434402869911867776162376361993.jpg,Knitted aqua jumper and pants
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434403727437644819278557103503.jpg,Giraffe bodysuits x 3
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434405239575071819785459726404.jpg,Winnie the Pooh set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434405697021651829479455904959.jpg,Fox bodysuit
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434406694232237690212774758066.jpg,Tractor bodysuit set x 7
Sets,0–3 months,baby_clothes_photos/baby_clothes_photos\17434407696926758312522763845709.jpg,Grow together mushroom set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1743440920669675230923179033628.jpg,Elephant bodysuit set x 7
Dresses,0–3 months,baby_clothes_photos/baby_clothes_photos\17434409807248354467863252448206.jpg,Jasper Conran Navy polka dress
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434411022129146492473416807568.jpg,Winnie the pooh yellow bodysuit set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\1743441194322967081940510600507.jpg,Beige mushroom bodysuit set
Bodysuits,0–3 months,baby_clothes_photos/baby_clothes_photos\17434415254992782723727881036306.jpg,Winnie the Pooh love bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434427603754632775397985702944.jpg,Peter rabbit bodysuit set
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434428799374883665449209121707.jpg,Green elephant bodysuit set 
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\17434430058033723699326418138574.jpg,Green and cream elephant bodysuit set
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443046888559914270101787555.jpg,Green dungarees 
Knitwear,3–6 months,baby_clothes_photos/baby_clothes_photos\17434431697135076729404171051669.jpg,Koala jumper
Knitwear,3–6 months,baby_clothes_photos/baby_clothes_photos\17434432108791616222697842933289.jpg,Purple fairisle jumper
Dungarees,3–6 months,baby_clothes_photos/baby_clothes_photos\17434432515795213045779775132110.jpg,Fluffy reindeer dungaree 
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443294481983763560633442709.jpg,Guess how much I love you pink bodysuit
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443322072810822048096714064.jpg,Floral bee bodysuit
Bodysuits,3–6 months,baby_clothes_photos/baby_clothes_photos\1743443363338410637402168575196.jpg,Winnie the Pooh button down corduroy bodysuit
Dresses,3–6 months,baby_clothes_photos/baby_clothes_photos\17434434319335841470081848274704.jpg,Nautical beach dress
Pants,3–6 months,baby_clothes_photos/baby_clothes_photos\17434434915978542116100054259851.jpg,Brown soft pants
Dresses,18–24 months,baby_clothes_photos/baby_clothes_photos\20250504_170106.jpg,blue pin stripe dress
